product_id,product_name,brand,type,flavor,size,price,quantity,expiration_date,image_url
P001,Purina Pro Plan,Purina,Dry,Chicken,5 kgs,Rs 20,50,31-12-2024,https://www.example.com/purina-pro-plan-chicken.jpg
P002,Hill's Science Diet,Hill's,Dry,Beef,15 kgs,Rs 50,25,31-12-2024,https://www.example.com/hills-science-diet-beef.jpg
P003,Iams ProActive Health,Iams,Dry,Lamb,10 kgs,Rs 40,35,31-12-2024,https://www.example.com/iams-proactive-health-lamb.jpg
P004,Blue Buffalo Wilderness,Blue Buffalo,Wet,Salmon,12 cans,Rs 30,40,31-12-2024,https://www.example.com/blue-buffalo-wilderness-salmon.jpg
P005,Royal Canin,Royal Canin,Dry,Fish,20 kgs,Rs 60,20,31-12-2024,https://www.example.com/royal-canin-fish.jpg
P006,Wellness Complete Health,Wellness,Wet,Turkey,24 cans,Rs 40,30,31-12-2024,https://www.example.com/wellness-complete-health-turkey.jpg
P007,Merrick Grain Free,Merrick,Dry,Duck,15 kgs,Rs 50,25,31-12-2024,https://www.example.com/merrick-grain-free-duck.jpg
P008,Nature's Variety Instinct,Nature's Variety,Wet,Rabbit,12 cans,Rs 30,40,31-12-2024,https://www.example.com/natures-variety-instinct-rabbit.jpg
P009,Canidae Grain Free Pure,Canidae,Dry,Bison,20 kgs,Rs 60,20,31-12-2024,https://www.example.com/canidae-grain-free-pure-bison.jpg
P010,Taste of the Wild,Taste of the Wild,Wet,Venison,24 cans,Rs 40,30,31-12-2024,https://www.example.com/taste-of-the-wild-venison.jpg
P011,Hill's Science Diet,Hill's,Dry,Feline,3 kgs,Rs 15,50,31-12-2024,https://www.example.com/hills-science-diet-feline.jpg
P012,Purina Pro Plan,Purina,Wet,Feline,24 cans,Rs 40,30,31-12-2024,https://www.example.com/purina-pro-plan-feline.jpg
P013,Iams ProActive Health,Iams,Dry,Canine,5 kgs,Rs 20,50,31-12-2024,https://www.example.com/iams-proactive-health-canine.jpg
P014,Blue Buffalo Wilderness,Blue Buffalo,Wet,Canine,12 cans,Rs 30,40,31-12-2024,https://www.example.com/blue-buffalo-wilderness-canine.jpg
